seq,t,phase,event,joint1,joint2,joint3,joint4,joint5,joint6,finger,expected_opening
189,3.7800,reach,,-0.000007679,0.516655312,0.801251877,0.000003713,-0.953031831,-1.237624171,0.008900,0.000000
190,3.8000,reach,,-0.000007723,0.519582206,0.805791032,0.000003734,-0.958430832,-1.244635410,0.008900,0.000000
191,3.8200,reach,,-0.000007766,0.522509099,0.810330188,0.000003755,-0.963829833,-1.251646649,0.008900,0.000000
192,3.8400,reach,,-0.000007810,0.525435992,0.814869343,0.000003776,-0.969228834,-1.258657888,0.008900,0.000000
193,3.8600,reach,,-0.000007853,0.528362885,0.819408498,0.000003797,-0.974627835,-1.265669127,0.008900,0.000000
194,3.8800,reach,,-0.000007897,0.531289779,0.823947654,0.000003818,-0.980026836,-1.272680366,0.008900,0.000000
195,3.9000,reach,,-0.000007940,0.534216672,0.828486809,0.000003839,-0.985425836,-1.279691605,0.008900,0.000000
196,3.9200,reach,,-0.000007984,0.537143565,0.833025964,0.000003860,-0.990824837,-1.286702843,0.008900,0.000000
197,3.9400,reach,,-0.000008027,0.540070459,0.837565120,0.000003881,-0.996223838,-1.293714082,0.008900,0.000000
198,3.9600,reach,,-0.000008071,0.542997352,0.842104275,0.000003902,-1.001622839,-1.300725321,0.008900,0.000000
199,3.9800,reach,,-0.000008114,0.545924245,0.846643431,0.000003923,-1.007021840,-1.307736560,0.008900,0.000000
200,4.0000,reach,,-0.000008158,0.548851138,0.851182586,0.000003944,-1.012420841,-1.314747799,0.008900,0.000000
201,4.0200,reach,,-0.000008201,0.551778032,0.855721741,0.000003965,-1.017819841,-1.321759038,0.008900,0.000000
202,4.0400,reach,,-0.000008245,0.554704925,0.860260897,0.000003986,-1.023218842,-1.328770277,0.008900,0.000000
203,4.0600,reach,,-0.000008288,0.557631818,0.864800052,0.000004007,-1.028617843,-1.335781516,0.008900,0.000000
204,4.0800,reach,,-0.000008332,0.560558712,0.869339207,0.000004028,-1.034016844,-1.342792755,0.008900,0.000000
205,4.1000,reach,,-0.000008375,0.563485605,0.873878363,0.000004049,-1.039415845,-1.349803994,0.008900,0.000000
206,4.1200,reach,,-0.000008419,0.566412498,0.878417518,0.000004070,-1.044814846,-1.356815233,0.008900,0.000000
207,4.1400,reach,,-0.000008462,0.569339391,0.882956673,0.000004092,-1.050213847,-1.363826472,0.008900,0.000000
208,4.1600,reach,,-0.000008506,0.572266285,0.887495829,0.000004113,-1.055612847,-1.370837711,0.008900,0.000000
209,4.1800,reach,,-0.000008549,0.575193178,0.892034984,0.000004134,-1.061011848,-1.377848950,0.008900,0.000000
210,4.2000,reach,,-0.000008593,0.578120071,0.896574140,0.000004155,-1.066410849,-1.384860189,0.008900,0.000000
211,4.2200,reach,,-0.000008636,0.581046965,0.901113295,0.000004176,-1.071809850,-1.391871428,0.008900,0.000000
212,4.2400,reach,,-0.000008680,0.583973858,0.905652450,0.000004197,-1.077208851,-1.398882667,0.008900,0.000000
213,4.2600,reach,,-0.000008723,0.586900751,0.910191606,0.000004218,-1.082607852,-1.405893906,0.008900,0.000000
214,4.2800,reach,,-0.000008767,0.589827644,0.914730761,0.000004239,-1.088006852,-1.412905145,0.008900,0.000000
215,4.3000,reach,,-0.000008811,0.592754538,0.919269916,0.000004260,-1.093405853,-1.419916384,0.008900,0.000000
216,4.3200,reach,,-0.000008854,0.595681431,0.923809072,0.000004281,-1.098804854,-1.426927623,0.008900,0.000000
217,4.3400,reach,,-0.000008898,0.598608324,0.928348227,0.000004302,-1.104203855,-1.433938862,0.008900,0.000000
218,4.3600,reach,,-0.000008941,0.601535218,0.932887383,0.000004323,-1.109602856,-1.440950101,0.008900,0.000000
219,4.3800,reach,,-0.000008985,0.604462111,0.937426538,0.000004344,-1.115001857,-1.447961340,0.008900,0.000000
220,4.4000,reach,,-0.000009028,0.607389004,0.941965693,0.000004365,-1.120400858,-1.454972579,0.008900,0.000000
221,4.4200,reach,,-0.000009072,0.610315897,0.946504849,0.000004386,-1.125799858,-1.461983818,0.008900,0.000000
222,4.4400,reach,,-0.000009115,0.613242791,0.951044004,0.000004407,-1.131198859,-1.468995057,0.008900,0.000000
223,4.4600,reach,,-0.000009159,0.616169684,0.955583159,0.000004428,-1.136597860,-1.476006296,0.008900,0.000000
224,4.4800,reach,,-0.000009202,0.619096577,0.960122315,0.000004449,-1.141996861,-1.483017535,0.008900,0.000000
225,4.5000,reach,,-0.000009245,0.621969444,0.964577683,0.000004470,-1.147296203,-1.489899356,0.008900,0.000000
226,4.5200,reach,,-0.000009286,0.624725141,0.968851340,0.000004490,-1.152379412,-1.496500502,0.008900,0.000000
227,4.5400,reach,,-0.000009325,0.627363574,0.972943139,0.000004509,-1.157246315,-1.502820749,0.008900,0.000000
